Ausschuss	MdL	Partei
Petitionen	Albert Duin 	FDP
Wirtschaft	Albert Duin 	FDP
Europa	Alex Dorow 	CSU
Wissenschaft	Alex Dorow 	CSU
Landwirtschaft	Alexander Flierl 	CSU
Umwelt	Alexander Flierl 	CSU
Verfassung	Alexander Hold 	FW
Europa	Alexander König 	CSU
Wirtschaft	Alexander König 	CSU
Innen	Alexander Muthmann 	FDP
Petitionen	Alexandra Hiersemann 	SPD
Innen	Alfred Grob 	CSU
Öffentlicher Dienst	Alfred Grob 	CSU
Europa	Alfred Sauter 	CSU
Öffentlicher Dienst	Andreas Jäckel 	CSU
Soziales	Andreas Jäckel 	CSU
Gesundheit	Andreas Krahl 	GRU
Soziales	Andreas Schalk 	CSU
Wissenschaft	Andreas Schalk 	CSU
Gesundheit	Andreas Winhart 	AfD
Bau	Angelika Schorer 	CSU
Bildung	Anna Toman 	GRU
Öffentlicher Dienst	Anna Toman 	GRU
Europa	Anne Franke 	GRU
Petitionen	Anne Franke 	GRU
Wirtschaft	Annette Karl 	SPD
Öffentlicher Dienst	Arif Tasdelen 	SPD
Gesundheit	Barbara Becker 	CSU
Umwelt	Barbara Becker 	CSU
Haushalt	Barbara Fuchs 	GRU
Bildung	Barbara Regitz 	CSU
Petitionen	Barbara Regitz 	CSU
Wirtschaft	Benjamin Adjei 	GRU
Petitionen	Benjamin Miskowitsch 	CSU
Wirtschaft	Benjamin Miskowitsch 	CSU
Umwelt	Benno Zierer 	FW
Haushalt	Bernhard Pohl 	FW
Gesundheit	Bernhard Seidenath 	CSU
Gesundheit	Bernhard Seidenath 	CSU
Bildung	Berthold Rüth 	CSU
Petitionen	Berthold Rüth 	CSU
Petitionen	Cemal Bozoglu 	GRU
Verfassung	Cemal Bozoglu 	GRU
Verfassung	Christian Flisek 	SPD
Wissenschaft	Christian Flisek 	SPD
Umwelt	Christian Hierneis 	GRU
Umwelt	Christian Klingen 	AfD
Wirtschaft	Christian Zwanziger 	GRU
Gesundheit	Christina Haubrich 	GRU
Verfassung	Christoph Maier 	AfD
Verfassung	Christoph Maier 	AfD
